,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
83,11194130,female,40,163,62,27,111,41.2,185
84,18863486,female,55,155,57,11,92,39.8,57
85,11754581,male,44,189,88,13,94,40,65
86,15161631,female,45,160,60,16,99,40.4,91
87,18735761,female,49,164,64,19,105,40.4,120
88,15878611,female,46,166,68,12,101,40.1,70
89,19249559,male,25,202,100,9,94,39.8,39
90,15469030,male,68,171,80,22,95,40.5,136
91,11157560,female,25,169,64,14,101,40.2,77
92,19576971,female,31,174,67,9,93,39.5,42
93,15048071,male,57,184,91,7,95,39.2,41
94,18707469,female,27,159,59,14,88,39.9,59
95,12598637,male,40,201,98,24,110,40.7,179
96,14342169,female,57,171,74,2,73,38.6,6
97,19208771,female,23,155,62,5,74,39.2,13
98,11790318,male,23,189,87,23,110,40,147
99,11756583,male,43,183,88,26,107,40.7,180
100,16417986,male,74,201,107,14,96,40.1,101
101,13065142,female,45,158,53,23,106,40.7,150
102,10481882,female,31,165,60,25,115,40.8,179
103,19521409,male,21,195,93,6,93,39.2,23
104,15862346,male,50,190,96,3,80,38.3,10
105,12234447,male,39,175,74,9,93,39.5,39
106,14624633,male,57,169,81,30,112,40.9,247
107,17074274,female,26,159,53,19,92,40.5,89
108,17636190,male,34,181,83,25,102,40.9,141
109,14345479,female,55,160,62,4,87,39.1,18
110,11772472,female,52,171,67,15,89,40.6,70
111,19087162,male,21,188,90,29,110,40.8,185
112,15875055,female,20,136,45,11,94,40.1,54
113,10939512,female,79,152,60,29,107,40.8,207
114,13616455,male,21,189,91,27,114,41,189
115,19118405,male,50,171,74,2,82,38.1,6
116,10503799,female,29,180,76,12,97,39.9,60
117,16572590,male,22,194,92,6,92,39,23
118,17336010,female,28,158,60,27,113,40.8,186
119,15483091,male,38,188,93,28,104,40.9,178
120,10006441,male,23,169,73,25,102,40.7,122
121,13075455,female,68,159,68,24,108,40.5,166
122,17564519,male,79,176,86,20,102,40.1,158
123,18789619,female,35,182,70,2,83,38.4,7
124,15444304,male,67,201,96,18,105,40.5,143
125,13122354,female,21,156,52,12,82,39.8,43
126,10692173,female,44,143,49,17,92,40.2,86
127,12890276,female,43,175,72,23,100,40.7,128
128,14339451,male,21,186,79,29,111,41,182
129,16626118,female,32,170,70,10,98,39.7,52
130,17268858,male,79,179,91,27,107,40.4,236
131,13816658,male,51,192,96,19,97,40.6,114
132,14191617,female,60,174,67,11,99,39.7,64
133,13672975,male,49,184,86,26,103,40.8,171
134,16361679,male,46,179,84,6,82,39.2,19
135,17739883,female,35,149,54,21,111,40.5,144
136,19341462,male,31,172,76,9,94,39.7,37
137,14117537,male,42,185,78,26,110,41.4,185
138,12667831,female,66,174,69,13,87,39.8,60
139,10661999,male,52,189,90,22,96,40.5,127
140,10366046,male,59,166,73,23,101,40.4,149
141,11523134,male,23,169,71,16,102,40.1,78
142,12275702,female,49,164,63,5,91,38.9,24
143,11190411,female,25,157,57,23,107,40.8,143
144,19686449,male,20,188,84,27,104,41,143
145,15565644,female,28,163,66,15,94,40.1,71
146,10154011,male,60,182,90,11,90,40.2,58
147,12676049,female,29,178,77,15,95,40.4,71
148,10228092,male,40,184,87,5,88,39.5,20
149,18997284,male,26,191,93,17,96,40.3,78
150,10836250,female,26,176,76,19,97,40.4,93
151,15883541,male,25,158,58,6,90,39.2,17
152,16990389,female,60,190,87,3,84,38.9,12
153,17046329,male,25,181,81,23,101,40.8,115
154,14136420,female,39,165,65,19,106,40.6,119
155,13138092,female,30,153,53,26,108,40.6,168
156,16655537,male,23,198,100,12,90,40.4,44
157,16245184,female,37,148,51,29,108,40.6,192
158,19157340,female,22,147,47,17,101,40.3,96
159,19810083,female,26,170,68,23,105,40.7,135
160,19821989,female,56,167,60,12,86,40.2,54
161,17219988,male,43,171,79,30,115,40.8,239
162,19572798,female,38,169,65,14,94,40.1,69
163,18360844,male,24,179,80,14,90,40.7,46
164,13918575,female,25,164,63,21,101,40.7,115
165,15319150,female,31,163,62,4,88,39.1,17
166,16112624,female,54,151,57,25,115,40.4,190
167,11099585,female,34,190,91,12,89,40.2,48
168,17300463,female,28,176,72,27,112,40.7,178
169,17118372,male,24,191,95,6,88,39.3,20
170,14435543,female,27,167,69,15,90,40.4,64
171,10908558,female,35,154,57,19,94,40.6,95
172,14181557,male,49,183,89,25,111,40.8,196
173,17152651,male,36,185,91,2,91,38.1,9
174,10192977,female,58,192,83,18,101,40.8,105
175,19584135,female,40,157,61,12,92,40,58
176,19445771,male,31,179,77,24,97,40.8,111
177,11294536,male,50,182,86,17,101,40.3,108
178,12845462,male,36,202,109,6,87,39.1,24
179,10578158,female,34,163,61,13,96,40.1,67
180,19789364,female,78,153,54,13,84,40.3,62
181,12301038,male,41,178,76,28,104,40.8,172
182,18976127,male,41,172,71,7,87,39.5,24
183,11460469,male,24,178,77,19,98,40.1,84
184,15238405,female,67,173,69,20,105,40.5,132
185,18559105,female,47,179,75,25,110,40.7,167
186,12761860,female,42,154,52,17,101,40.6,101
187,12777201,female,25,180,75,23,97,40.6,113
188,11084582,male,25,179,78,17,101,40.3,84
189,11393152,female,58,165,68,6,88,39.4,28
190,12327773,male,68,191,98,22,99,41,157
191,12038545,male,24,181,91,14,97,40.4,64
192,17593004,male,38,192,92,21,104,40.6,133
193,11708341,female,26,164,59,23,108,40.5,145
194,10753818,male,64,178,83,24,103,41,174
195,10608177,female,49,174,75,7,93,39.2,34
196,11267944,female,73,158,57,29,103,40.9,193
197,19795364,male,27,180,86,24,107,40.7,147
198,14290814,male,66,171,72,18,105,40.5,133
199,19222644,male,39,199,104,26,101,40.7,161
200,12847212,female,30,168,62,6,76,39.4,18
201,11986136,male,76,187,96,12,96,40.1,85
202,11830053,male,60,193,90,15,95,40,90
203,14737350,male,54,188,90,23,108,40.9,176
204,15294669,female,49,166,66,11,89,39.6,51
205,17146724,female,24,173,66,7,82,39.3,24
206,17490159,female,28,161,57,6,83,39.5,22
207,15501381,male,72,197,102,25,106,40.9,212
208,16736138,male,32,171,78,29,112,40.9,201
209,18493316,female,36,159,59,17,93,40.3,83
210,17497515,male,65,204,103,14,93,40.1,87
211,14364172,female,36,163,67,27,97,40.7,141
212,14217831,female,32,159,63,23,103,40.3,134
213,10483147,male,42,180,84,2,80,38.6,5
214,18046507,male,34,191,94,29,109,40.9,201
215,12414011,male,34,181,78,3,86,38.2,9
216,10710546,male,26,191,86,8,83,39.3,20
217,16175343,male,31,203,105,29,113,40.8,221
218,12020646,female,64,157,63,17,105,40.1,112
219,13611443,male,34,185,93,20,99,40.3,108
220,16383525,male,63,204,112,29,110,40.4,257
221,17841776,male,44,194,87,27,108,40.8,192
222,10735479,male,36,190,96,17,90,40.3,72
223,13117699,male,41,173,71,28,104,41.2,169
224,16042685,male,73,168,77,18,97,40.3,120
225,10315558,male,31,186,85,28,106,40.8,172
226,12304455,male,22,179,73,10,84,39.9,21
227,15503276,female,34,161,56,18,102,40.6,105
228,10565624,female,21,168,65,25,109,40.3,156
229,12458510,female,22,145,50,3,89,38.7,13
230,13885247,male,33,190,97,24,100,40.8,134
231,11572170,female,51,157,60,21,103,40.4,130
232,19911268,male,45,195,99,2,83,37.9,7
233,12859596,female,33,175,67,25,101,41.1,140
234,15376017,male,47,198,97,7,91,39.3,34
235,19921858,female,70,175,74,9,79,40,34
236,19187230,female,77,160,63,8,92,39.5,44
237,10874559,female,35,172,71,11,85,39.9,42
238,11746700,female,44,161,60,2,89,38.4,9
239,10952850,female,71,164,60,18,97,40.5,107
240,16785115,female,54,174,75,9,87,39.6,39
241,14951529,female,63,166,68,26,108,40.8,178
242,13846186,female,50,149,55,13,101,40.4,79
243,10590765,male,63,200,105,15,102,40.3,113
244,15032837,female,30,163,58,22,109,40.5,143
245,15511677,female,33,163,57,4,84,38.7,16
246,18148848,male,38,189,91,24,100,40.5,137
247,13172849,male,20,183,81,17,97,40.5,71
248,18401432,female,67,159,62,13,94,40.2,72
249,14857446,male,24,188,90,14,103,40.1,76
250,12734403,male,30,197,103,27,109,40.5,187
251,11693744,female,35,145,49,18,103,40.2,109
252,10622381,female,63,176,79,29,111,40.5,204
253,18548803,female,50,157,60,6,91,39.4,29
254,18119523,male,33,200,101,17,98,40.5,91
255,13991141,female,36,163,58,4,84,39,16
256,10677750,male,75,187,97,7,84,39.1,36
257,17724752,male,56,184,93,13,97,39.9,80
258,17047475,female,50,182,75,22,111,40.6,151
259,18908393,male,24,183,80,27,116,40.6,195
260,19475479,female,32,172,72,8,80,39.5,26
261,10854360,male,49,193,100,22,99,40.5,138
262,17425584,female,77,170,65,3,89,39,15
263,15539064,male,67,171,75,19,97,40.5,120
264,14130669,male,23,182,81,30,112,41,197
265,15015988,male,37,192,95,21,98,40.7,114
266,13741485,female,35,163,59,20,107,40.6,127
267,13015812,male,34,185,83,23,97,40.8,112
268,13939844,female,49,168,67,21,98,40.4,116
269,13135068,female,69,156,61,8,83,39.4,35
270,13286573,male,49,194,101,16,103,40.4,110
271,19246830,female,41,150,51,22,95,40.2,117
272,18976105,male,42,195,95,17,105,40.2,115
273,14714345,male,52,188,93,21,107,40.6,157
274,18319225,female,26,158,60,12,91,40,54
275,14775199,female,79,178,80,25,104,40.5,163
276,10074404,male,72,172,82,19,107,40.5,156
277,16366307,male,34,195,92,10,91,39.9,42
278,13945114,female,60,152,50,7,89,39.8,35
279,16749464,female,45,158,57,7,91,39.3,34
280,18521428,male,33,188,92,19,98,40.4,99
281,10207737,male,56,192,97,20,109,40.5,161
282,10722362,female,21,153,54,8,94,39.8,38
283,15316949,female,50,161,61,18,99,40.5,104
284,14920065,male,60,184,86,27,105,41,200
285,10809847,male,39,162,72,28,108,40.7,183
286,12363678,male,48,175,75,19,110,40.7,140
287,17804243,female,38,163,65,19,97,40.5,100
288,15862195,male,54,190,95,22,110,40.3,178
289,12555008,male,23,195,89,27,104,41,150
290,13788834,female,72,164,68,15,94,40.2,83
291,19113986,male,47,179,79,6,74,39.3,12
292,19510192,female,58,170,72,8,103,39.9,49
293,15831321,male,41,179,85,25,101,40.8,147
294,14142930,male,62,193,100,8,90,39.4,44
295,16036236,female,30,168,67,29,107,40.9,179
296,19962170,female,32,156,56,23,113,40.5,161
297,11390035,male,20,178,80,9,84,39.4,20
298,16163940,female,53,168,65,21,102,40.5,127
299,17847428,male,51,189,95,30,112,41,247
300,18908334,male,78,177,86,23,100,40.8,173
301,17029728,female,31,169,69,1,74,37.6,3
302,10082523,male,74,205,112,6,83,39,32
303,15505673,female,50,177,70,22,106,40.9,140
304,12679497,female,40,160,70,8,88,40,34
305,17438788,male,41,172,75,8,88,39.7,30
306,19382988,female,26,161,54,13,94,40.3,64
307,13632419,male,25,185,89,27,104,40.8,152
308,12432246,male,31,184,89,15,105,39.9,91
309,19984594,male,20,186,90,4,83,38.8,9
310,14768524,female,55,176,72,5,84,39.3,20
311,18107311,female,52,160,59,25,103,40.7,156
312,11102823,male,60,208,105,26,110,40.6,223
313,11337714,male,36,191,93,16,97,40,83
314,15422663,female,53,168,69,11,89,40,51
315,10201123,male,36,193,95,10,97,40,52
316,10310404,female,23,169,68,25,114,40.9,170
317,17001911,female,36,164,57,2,79,37.9,7
318,13586767,female,37,166,61,25,103,40.7,149
319,11312954,male,48,181,80,27,105,40.6,181
320,19873304,female,39,167,71,27,118,41.1,201
321,10331021,male,21,205,103,7,88,39.6,23
322,10566369,male,20,187,86,23,100,40.3,109
323,19286727,male,57,169,72,8,84,39.7,30
324,19845852,female,77,160,66,15,94,40.5,84
325,18971121,male,34,184,85,19,109,40.4,128
326,16784301,male,52,189,92,23,97,40.7,137
327,15158798,male,70,194,91,28,103,40.8,216
328,12730658,female,64,157,54,12,95,40.1,68
329,16649627,male,73,198,101,18,97,40.7,129
330,16205668,male,47,195,99,11,88,39.8,50
331,15013894,female,39,164,65,5,84,39.2,19
332,12286808,female,25,163,60,7,89,39.4,30
333,10485469,male,22,165,67,27,119,40.4,197
334,13340241,male,67,173,78,4,95,38.7,24
335,14093741,female,64,164,67,13,94,40.2,70
336,11983925,male,37,200,100,12,91,40.1,54
337,11222672,male,21,184,78,19,100,40.5,88
338,17862213,male,40,190,97,7,83,39.5,24
339,18184462,female,36,174,68,19,108,40.1,121
340,14919629,female,53,178,77,11,95,39.9,57
341,17551112,male,41,192,99,22,98,40.5,126
342,17567644,male,56,184,88,5,89,39.5,24
343,17752929,female,29,166,65,11,84,40,41
344,18452221,male,28,192,92,7,92,39.5,28
345,15176055,male,22,191,88,10,90,39.7,34
346,10836299,male,76,195,93,23,96,40.5,161
347,14734299,male,73,175,76,4,86,38.9,20
348,10567350,male,39,191,86,23,97,40.6,119
349,13304804,female,69,162,59,11,95,39.6,63
350,10638410,female,46,180,75,12,93,40.1,58
351,13464795,female,30,163,58,30,115,40.6,215
352,13693397,female,35,168,67,17,101,40.1,96
353,14347203,female,60,176,71,24,107,41,160
354,13541948,female,35,150,50,25,104,41,154
355,12431875,male,26,182,84,5,81,39.1,11
356,18290984,male,21,183,83,23,104,40.5,122
357,15699085,female,27,158,57,22,101,40.4,124
358,17286230,female,47,172,69,21,97,40.6,113
359,12037170,female,27,183,79,3,80,38.9,9
360,15295331,male,49,181,79,29,108,40.7,208
361,13302612,male,27,178,83,19,102,41,101
362,14255616,male,46,194,91,14,91,40,66
363,12824130,male,58,197,98,14,102,40.1,100
364,12481603,male,27,172,77,13,101,39.9,65
365,17977871,male,29,176,76,13,91,39.8,47
366,10164017,male,39,197,96,3,78,38.6,8
367,13155595,female,56,160,63,4,84,38.7,17
368,11627255,male,32,183,83,21,97,40.4,101
369,12530320,female,43,169,67,5,80,39,18
370,14132143,male,21,202,98,21,108,40.5,131
371,14940695,female,76,175,72,10,97,39.8,58
372,17806572,female,22,162,59,15,104,40,87
373,14971780,male,35,200,99,24,104,40.6,152
374,16691239,male,45,191,95,28,105,41,193
375,15563989,male,32,176,83,10,99,39.7,51
376,10679574,male,39,178,80,25,105,40.7,157
377,10176870,female,44,174,75,27,105,40.8,165
378,19455108,female,26,174,67,6,84,39.4,22
379,18145627,female,42,179,72,17,98,40.1,91
380,13361025,female,24,178,78,2,93,38.2,9
381,19596964,male,56,186,93,14,91,40,74
382,18120047,male,71,185,96,5,85,39.1,26
383,19554783,female,37,187,84,11,99,39.9,57
384,17873138,female,47,162,63,10,81,39.9,37
385,12940540,male,48,167,67,29,112,40.9,217
386,12338218,male,52,183,86,11,87,40,47
387,11860761,male,40,192,98,24,99,40.4,139
388,16221860,female,66,180,75,4,88,38.9,19
389,14662956,female,37,157,59,16,94,40.2,80
390,15359537,male,28,193,93,17,94,40.4,74
391,19371363,female,59,148,51,10,93,39.7,54
392,16364264,male,24,182,78,28,105,40.8,154
393,15285889,female,67,162,62,26,93,40.7,140
394,11844111,male,33,192,98,10,97,39.8,52
395,10907293,male,34,192,99,15,97,40.1,79
396,12870966,male,40,181,84,17,99,40.4,94
397,17244789,male,22,193,85,28,116,41,202
398,11185950,male,66,164,75,27,114,40.7,238
399,15381308,male,42,182,82,19,103,40.2,117
400,16193075,male,42,209,111,7,83,39.5,26
401,19166163,male,64,203,97,23,106,40.7,184
402,14314848,female,32,162,64,28,105,40.5,169
403,11718003,male,24,189,91,1,78,37.7,2
404,17985735,male,26,182,83,27,107,41,162
405,12701312,female,32,159,55,13,92,40.2,62
406,10377282,male,51,190,94,21,105,40.4,150
407,18979629,female,40,165,59,27,110,41.1,183
408,15987356,female,34,179,74,25,101,40.9,138
409,15694837,male,48,185,88,15,103,40,99
410,10160535,female,21,147,45,23,100,40.6,128
411,19295195,female,31,175,68,12,91,40.3,54
412,19318394,male,76,193,103,18,95,40.3,127
413,19941237,male,20,177,79,5,84,38.9,11
414,19326172,male,22,167,73,18,94,40.7,66
415,13422365,male,44,180,84,11,91,39.5,49
416,16412866,female,49,173,67,10,85,39.5,42
417,12961279,male,49,179,79,7,95,39.5,37
418,15322514,female,46,154,55,3,84,38.6,12
419,18742025,male,75,186,84,29,107,41.1,243
420,19370901,female,20,167,58,5,76,39.3,14
421,16152838,female,33,154,59,28,105,40.6,171
422,11589040,male,68,166,75,28,112,40.8,241
423,18394669,female,58,173,73,20,104,40.6,125
424,19783354,male,23,179,81,26,112,40.6,171
425,15351545,male,79,198,96,9,87,39.7,52
426,12132600,male,43,201,104,28,103,40.7,187
427,12811109,female,37,178,74,24,104,40.8,141
428,13079051,male,75,199,103,28,123,40.5,314
429,13156882,female,61,173,73,26,102,40.8,159
430,15720905,female,26,169,62,9,80,40.2,30
431,11372824,female,23,173,72,28,110,40.9,176
432,10352361,male,64,178,82,25,111,40.8,211
433,13705651,female,20,170,68,8,85,39.4,29
434,16859377,female,22,171,69,21,95,40.1,99
435,15352402,female,27,169,69,27,116,41.1,190
436,11626397,male,36,190,95,7,83,39.5,22
437,13744758,male,59,191,92,30,110,41,247
438,15704485,male,36,206,103,5,84,39,17
439,11639090,female,71,160,65,8,86,39.7,37
440,17172875,female,21,167,67,21,103,40.4,117
441,12219500,male,56,188,90,10,91,39.7,52
442,17495765,female,68,166,64,2,75,37.9,7
443,18147320,male,75,172,74,10,98,39.7,68
444,19057565,male,48,176,84,17,89,40.4,74
445,16697741,male,62,185,91,24,97,40.6,154
446,14165839,female,53,156,60,26,104,40.7,165
447,11217409,male,47,187,89,17,97,39.9,96
448,11023789,male,39,188,91,13,101,39.8,77
449,16838492,female,54,168,63,17,92,40.3,86
450,15162283,male,38,201,104,21,101,40.6,129
451,16886509,female,39,149,51,26,100,40.4,151
452,15281529,male,51,182,81,28,106,40.9,197
453,13550814,male,30,193,92,13,104,40.3,77
454,15912232,female,33,156,61,5,90,39.1,22
455,17844052,male,47,182,82,27,100,40.7,161
456,12876943,female,64,155,55,25,114,40.8,192
457,10280911,female,37,159,58,8,90,39.2,37
458,19287036,male,41,188,91,20,106,40.5,135
459,14893331,male,61,179,77,11,90,40,55
460,12514678,male,38,169,71,10,84,39.8,29
461,16685296,male,21,185,88,12,97,39.9,52
462,12746799,female,26,173,73,1,69,37.9,2
463,10986379,male,48,183,81,21,94,40.6,106
464,12209289,male,71,183,80,6,84,39,28
465,10374360,male,73,199,97,22,107,40.9,189
466,19857904,female,65,158,61,26,111,41,190
467,14899078,female,57,149,56,13,91,39.9,66
468,18109896,male,49,185,93,22,99,40.5,135
469,10658315,male,55,178,79,4,97,38.7,23
470,16614243,male,20,182,74,12,80,39.9,17
471,11307336,female,45,163,58,5,84,38.9,21
472,16566416,female,53,175,75,13,90,40.2,60
473,12128736,female,46,166,58,10,93,39.6,51
474,14876896,male,25,198,96,5,85,39.1,15
475,14351379,male,22,163,65,9,92,40,29
476,17184236,female,60,164,66,27,110,40.8,190
477,18004108,female,50,168,62,11,89,40.1,51
478,14000981,female,61,157,56,17,95,40.5,95
479,15744897,female,69,165,62,29,112,40.9,216
480,14503730,male,30,195,92,30,101,41,165
481,12911778,female,33,164,61,20,105,40.6,122
482,12810704,male,21,206,105,15,96,40.1,69
483,15842647,female,39,152,53,20,99,40.9,113
484,17928110,male,26,180,81,7,92,39.5,26
485,16245947,male,44,175,80,5,91,39.2,22
486,12746398,female,58,144,42,12,96,40.1,70
487,15409745,male,24,177,83,4,83,39.3,9
488,11889909,male,35,187,91,15,95,40.3,72
489,11023601,male,21,189,94,25,111,40.6,165
490,13200163,male,26,181,82,29,105,41,165
491,14234232,female,30,162,57,15,88,40.3,64
492,10466078,male,27,182,81,18,105,40.5,103
493,16901821,female,32,147,51,4,83,39.1,15
494,15818779,female,30,185,84,9,85,39.6,32
495,13074999,female,79,160,57,14,85,40,68
496,14418208,female,39,164,58,25,106,40.6,159
497,17837201,male,25,188,89,6,92,39.6,23
498,18884271,female,23,169,70,13,90,40.1,54
499,13959790,female,47,172,70,2,89,37.8,9
500,11082105,male,34,182,80,29,120,40.7,240
501,19999394,female,36,152,54,10,86,39.7,42
502,18509951,male,63,203,115,14,106,40,117
503,13943690,female,37,164,59,26,106,40.6,164
504,12488317,female,50,156,55,23,98,40.8,132
505,19386173,male,62,191,96,2,85,38.2,9
506,13439081,female,37,173,67,15,94,40,74
507,10710630,female,35,169,69,23,96,40.7,116
508,19057536,male,27,174,79,8,102,39.7,42
509,15596079,male,55,179,79,24,110,40.6,187
510,17437832,male,36,173,75,16,94,40.4,70
511,10925383,female,22,140,45,7,86,39.1,29
512,15350635,male,20,170,71,9,83,39.8,17
513,19447279,male,43,185,83,28,108,40.9,195
514,10199291,female,73,181,76,19,106,40.4,127
515,11037310,male,22,184,82,14,87,39.9,39
516,17386243,male,67,155,64,6,88,38.9,28
517,17568474,male,25,195,100,16,93,40.3,68
518,14116675,female,41,165,63,17,97,40.5,91
519,12553644,male,49,181,81,16,97,40.2,89
520,13816392,female,58,148,53,2,89,37.7,10
521,16427125,male,27,180,80,28,111,41.2,185
522,14856859,female,33,172,76,5,79,38.7,16
523,15173138,female,59,156,58,19,91,40.3,97
524,16489177,male,21,183,77,13,92,40.2,44
525,14701673,female,65,155,59,10,95,40,56
526,11952276,male,22,191,88,21,103,40.4,112
527,18146668,male,55,192,91,10,81,39.8,37
528,11529339,male,22,182,82,9,86,39.8,24
529,13721168,female,35,132,38,30,112,40.5,216
530,17327058,male,58,203,101,15,101,40.1,106
531,10712255,male,45,194,103,14,85,39.9,57
532,11647949,male,62,195,99,18,97,40.3,119
533,11326795,female,74,162,60,16,97,40.1,96
534,10121663,female,48,146,46,7,88,39.5,33
535,12242593,male,23,173,73,23,100,40.7,106
536,17167096,male,31,184,90,25,106,41,156
537,12398043,male,53,199,98,14,92,40.4,75
538,15869217,male,73,189,89,18,99,40.6,130
539,15608003,female,27,170,66,21,113,40.5,142
540,15148449,male,40,177,83,22,99,40.5,121
541,10083227,female,66,162,66,24,99,40.7,143
542,11341405,female,46,170,73,20,105,40.7,123
543,17415559,female,75,165,62,26,108,41.1,186
544,12355386,male,33,162,67,13,94,40.3,53
545,10029283,female,49,164,59,27,104,40.8,170
546,10483979,female,37,166,67,15,97,40.2,78
547,17175333,female,43,167,70,26,113,40.5,182
548,16115051,female,66,187,82,11,92,40,55
549,16616022,female,51,161,59,25,101,40.6,150
550,19263430,female,33,162,56,6,80,39.9,21
551,17570700,male,48,170,72,6,90,39,26
552,14210556,male,43,192,95,18,93,40.5,90
553,11031105,male,48,174,75,16,99,40.7,91
554,18517438,male,34,186,87,17,95,40.3,79
555,13263452,female,61,168,66,29,107,41.1,195
556,17636680,female,48,177,75,10,101,39.9,57
557,15998462,female,30,162,57,18,98,40.5,96
558,10923384,female,79,163,61,7,93,39.7,39
559,10719211,female,67,172,73,4,85,38.6,18
560,14807514,male,60,184,84,4,85,39.3,17
561,15046678,female,57,171,76,15,97,40.3,82
562,18818959,male,34,194,96,19,101,40.5,110
563,15142192,female,42,157,56,25,106,40.8,161
564,11682404,male,38,181,82,25,107,40.8,164
565,19330869,male,43,179,83,5,81,39.5,15
566,15546601,male,76,189,99,12,96,40.2,85
567,10425714,male,37,179,79,23,101,40.6,128
568,18936440,male,23,195,98,14,94,40.2,59
569,17396723,male,21,205,108,2,84,37.9,6
570,17061308,female,20,151,54,18,92,40.2,82
571,12777154,female,23,168,62,25,105,40.5,148
572,19349772,female,20,170,65,3,76,38.2,8
573,18368929,female,25,173,71,14,86,40.3,53
574,10927426,female,24,155,50,16,98,40.2,85
575,11120168,female,29,157,57,22,99,40.9,120
576,14150444,male,43,199,106,28,107,40.7,205
577,18829534,female,26,175,66,4,80,39.1,13
578,15386312,female,76,176,77,28,107,40.6,192
579,10326650,male,43,184,89,4,91,38.7,18
580,16735987,male,73,190,94,7,92,39.3,44
581,16154968,male,42,198,104,26,103,41.3,172
582,18233908,female,23,171,65,27,105,40.4,158
583,17734647,male,22,186,76,6,82,39.5,11
584,11814565,male,28,176,77,25,96,40.9,108
585,16650415,female,20,170,64,23,96,40.5,112
